"rho","n","EstimandScenario","Method","Policy effect (Empirical SE)","Bias (MCSE)","Coverage 95% (MCSE)","Power (MCSE)","Empirical SE (Model-based SE)","Mean square error (MCSE)","true_val"
"0.6",100,"Moderate","Multivariable negative binomial regression(Trd)","-0.3539 (0.3268)","0.0028 (0.0035)","80.41 (0.4300)","41.05 (0.5300)","0.3268 (0.2303)","0.1068 (0.0016)",-0.3567
"0.6",100,"Large","Controlled interrupted time series(CITS)","-0.5178 (0.0905)","-0.0070 (0.0010)","84.58 (0.3900)","99.99 (0.0100)","0.0905 (0.0684)","0.0082 (0.0001)",-0.5108
"0.6",100,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5148 (0.0912)","-0.0040 (0.0010)","84.77 (0.3900)","99.99 (0.0100)","0.0912 (0.0695)","0.0083 (0.0001)",-0.5108
"0.6",100,"Large","Multivariable negative binomial regression(Trd)","-0.5064 (0.3265)","0.0044 (0.0035)","81.04 (0.4200)","58.82 (0.5300)","0.3265 (0.2305)","0.1066 (0.0016)",-0.5108
"0.6",150,"Small","Controlled interrupted time series(CITS)","-0.0432 (0.0748)","-0.0024 (0.0008)","84.97 (0.3800)","21.25 (0.4400)","0.0748 (0.0566)","0.0056 (0.0001)",-0.0408
"0.6",150,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0406 (0.0753)","0.0002 (0.0008)","85.53 (0.3800)","19.54 (0.4300)","0.0753 (0.0579)","0.0057 (0.0001)",-0.0408
"0.6",150,"Small","Multivariable negative binomial regression(Trd)","-0.0363 (0.2632)","0.0045 (0.0028)","83.38 (0.4000)","16.91 (0.4000)","0.2632 (0.1946)","0.0693 (0.0011)",-0.0408
"0.6",150,"Moderate","Controlled interrupted time series(CITS)","-0.3616 (0.0750)","-0.0049 (0.0008)","85.27 (0.3800)","99.97 (0.0200)","0.0750 (0.0568)","0.0056 (0.0001)",-0.3567
"0.6",150,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3585 (0.0753)","-0.0018 (0.0008)","86.11 (0.3700)","99.92 (0.0300)","0.0753 (0.0579)","0.0057 (0.0001)",-0.3567
"0.6",150,"Moderate","Multivariable negative binomial regression(Trd)","-0.3525 (0.2712)","0.0042 (0.0029)","82.27 (0.4100)","47.27 (0.5400)","0.2712 (0.1951)","0.0736 (0.0011)",-0.3567
"0.6",150,"Large","Controlled interrupted time series(CITS)","-0.5171 (0.0748)","-0.0063 (0.0008)","85.50 (0.3800)","100.00 (0.0000)","0.0748 (0.0568)","0.0056 (0.0001)",-0.5108
"0.6",150,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5134 (0.0748)","-0.0026 (0.0008)","85.97 (0.3700)","100.00 (0.0000)","0.0748 (0.0580)","0.0056 (0.0001)",-0.5108
"0.6",150,"Large","Multivariable negative binomial regression(Trd)","-0.5120 (0.2692)","-0.0012 (0.0029)","82.75 (0.4100)","68.78 (0.5000)","0.2692 (0.1964)","0.0724 (0.0011)",-0.5108
"0.8",12,"Small","Controlled interrupted time series(CITS)","-0.0464 (0.4151)","-0.0056 (0.0045)","45.64 (0.5300)","54.80 (0.5300)","0.4151 (0.1530)","0.1723 (0.0026)",-0.0408
"0.8",12,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0458 (0.3954)","-0.0050 (0.0042)","54.93 (0.5300)","45.15 (0.5300)","0.3954 (0.1715)","0.1564 (0.0024)",-0.0408
"0.8",12,"Small","Multivariable negative binomial regression(Trd)","-0.0337 (0.4826)","0.0071 (0.0052)","73.35 (0.4700)","26.53 (0.4700)","0.4826 (0.3284)","0.2329 (0.0036)",-0.0408
"0.8",12,"Moderate","Controlled interrupted time series(CITS)","-0.3589 (0.4128)","-0.0022 (0.0044)","46.03 (0.5300)","65.87 (0.5100)","0.4128 (0.1524)","0.1704 (0.0026)",-0.3567
"0.8",12,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3578 (0.3932)","-0.0011 (0.0042)","55.47 (0.5300)","59.82 (0.5300)","0.3932 (0.1717)","0.1546 (0.0025)",-0.3567
"0.8",12,"Moderate","Multivariable negative binomial regression(Trd)","-0.3433 (0.4856)","0.0134 (0.0052)","74.18 (0.4700)","36.65 (0.5200)","0.4856 (0.3307)","0.2360 (0.0037)",-0.3567
"0.8",12,"Large","Controlled interrupted time series(CITS)","-0.5155 (0.4074)","-0.0047 (0.0044)","47.20 (0.5400)","75.00 (0.4600)","0.4074 (0.1535)","0.1660 (0.0026)",-0.5108
"0.8",12,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5150 (0.3920)","-0.0042 (0.0042)","54.98 (0.5300)","71.79 (0.4800)","0.3920 (0.1716)","0.1536 (0.0024)",-0.5108
"0.8",12,"Large","Multivariable negative binomial regression(Trd)","-0.5018 (0.4798)","0.0090 (0.0051)","74.91 (0.4700)","46.82 (0.5400)","0.4798 (0.3339)","0.2302 (0.0035)",-0.5108
"0.8",14,"Small","Controlled interrupted time series(CITS)","-0.0544 (0.4071)","-0.0136 (0.0044)","46.41 (0.5400)","54.04 (0.5300)","0.4071 (0.1508)","0.1659 (0.0026)",-0.0408
"0.8",14,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0453 (0.3875)","-0.0045 (0.0042)","56.48 (0.5300)","43.90 (0.5300)","0.3875 (0.1687)","0.1501 (0.0023)",-0.0408
"0.8",14,"Small","Multivariable negative binomial regression(Trd)","-0.0245 (0.4865)","0.0163 (0.0052)","73.07 (0.4800)","27.13 (0.4800)","0.4865 (0.3170)","0.2370 (0.0037)",-0.0408
"0.8",14,"Moderate","Controlled interrupted time series(CITS)","-0.3707 (0.4055)","-0.0140 (0.0044)","46.31 (0.5300)","66.69 (0.5100)","0.4055 (0.1501)","0.1646 (0.0026)",-0.3567
"0.8",14,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3682 (0.3871)","-0.0115 (0.0042)","55.41 (0.5300)","60.74 (0.5200)","0.3871 (0.1676)","0.1500 (0.0023)",-0.3567
"0.8",14,"Moderate","Multivariable negative binomial regression(Trd)","-0.3444 (0.4997)","0.0123 (0.0054)","71.79 (0.4800)","38.65 (0.5200)","0.4997 (0.3175)","0.2498 (0.0037)",-0.3567
"0.8",14,"Large","Controlled interrupted time series(CITS)","-0.5240 (0.4025)","-0.0132 (0.0043)","47.34 (0.5400)","76.09 (0.4600)","0.4025 (0.1507)","0.1621 (0.0026)",-0.5108
"0.8",14,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5196 (0.3842)","-0.0088 (0.0041)","56.39 (0.5300)","72.73 (0.4800)","0.3842 (0.1694)","0.1477 (0.0023)",-0.5108
"0.8",14,"Large","Multivariable negative binomial regression(Trd)","-0.4913 (0.5010)","0.0195 (0.0054)","72.85 (0.4800)","46.71 (0.5400)","0.5010 (0.3242)","0.2514 (0.0038)",-0.5108
"0.8",16,"Small","Controlled interrupted time series(CITS)","-0.0521 (0.4054)","-0.0113 (0.0043)","47.12 (0.5400)","53.12 (0.5400)","0.4054 (0.1558)","0.1645 (0.0025)",-0.0408
"0.8",16,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0497 (0.3862)","-0.0089 (0.0041)","55.80 (0.5300)","44.13 (0.5300)","0.3862 (0.1712)","0.1492 (0.0022)",-0.0408
"0.8",16,"Small","Multivariable negative binomial regression(Trd)","-0.0284 (0.5068)","0.0124 (0.0054)","68.60 (0.5000)","31.26 (0.5000)","0.5068 (0.3077)","0.2570 (0.0040)",-0.0408
"0.8",16,"Moderate","Controlled interrupted time series(CITS)","-0.3625 (0.4048)","-0.0058 (0.0043)","47.82 (0.5400)","65.18 (0.5100)","0.4048 (0.1555)","0.1639 (0.0026)",-0.3567
"0.8",16,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3628 (0.3853)","-0.0061 (0.0041)","56.05 (0.5300)","59.37 (0.5300)","0.3853 (0.1719)","0.1485 (0.0023)",-0.3567
"0.8",16,"Moderate","Multivariable negative binomial regression(Trd)","-0.3369 (0.5156)","0.0198 (0.0055)","68.37 (0.5000)","40.11 (0.5300)","0.5156 (0.3103)","0.2662 (0.0041)",-0.3567
"0.8",16,"Large","Controlled interrupted time series(CITS)","-0.5183 (0.3959)","-0.0075 (0.0042)","48.61 (0.5400)","75.10 (0.4600)","0.3959 (0.1552)","0.1568 (0.0024)",-0.5108
"0.8",16,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5152 (0.3830)","-0.0044 (0.0041)","56.38 (0.5300)","72.16 (0.4800)","0.3830 (0.1704)","0.1467 (0.0022)",-0.5108
"0.8",16,"Large","Multivariable negative binomial regression(Trd)","-0.4962 (0.5253)","0.0146 (0.0056)","68.05 (0.5000)","50.14 (0.5400)","0.5253 (0.3099)","0.2761 (0.0043)",-0.5108
"0.8",18,"Small","Controlled interrupted time series(CITS)","-0.0477 (0.3954)","-0.0069 (0.0042)","49.22 (0.5400)","51.38 (0.5400)","0.3954 (0.1553)","0.1563 (0.0025)",-0.0408
"0.8",18,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0474 (0.3785)","-0.0066 (0.0041)","57.48 (0.5300)","43.09 (0.5300)","0.3785 (0.1709)","0.1433 (0.0022)",-0.0408
"0.8",18,"Small","Multivariable negative binomial regression(Trd)","-0.0276 (0.5217)","0.0132 (0.0056)","70.10 (0.4900)","29.96 (0.4900)","0.5217 (0.3160)","0.2723 (0.0042)",-0.0408
"0.8",18,"Moderate","Controlled interrupted time series(CITS)","-0.3712 (0.3942)","-0.0145 (0.0042)","48.77 (0.5400)","65.38 (0.5100)","0.3942 (0.1548)","0.1556 (0.0024)",-0.3567
"0.8",18,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3690 (0.3694)","-0.0123 (0.0040)","58.28 (0.5300)","59.52 (0.5300)","0.3694 (0.1695)","0.1366 (0.0021)",-0.3567
"0.8",18,"Moderate","Multivariable negative binomial regression(Trd)","-0.3355 (0.5265)","0.0212 (0.0056)","69.77 (0.4900)","40.14 (0.5300)","0.5265 (0.3194)","0.2777 (0.0042)",-0.3567
"0.8",18,"Large","Controlled interrupted time series(CITS)","-0.5281 (0.3950)","-0.0173 (0.0042)","49.67 (0.5400)","75.69 (0.4600)","0.3950 (0.1559)","0.1563 (0.0024)",-0.5108
"0.8",18,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5214 (0.3790)","-0.0106 (0.0041)","56.43 (0.5300)","71.54 (0.4800)","0.3790 (0.1708)","0.1437 (0.0022)",-0.5108
"0.8",18,"Large","Multivariable negative binomial regression(Trd)","-0.4948 (0.5334)","0.0160 (0.0057)","68.93 (0.5000)","48.50 (0.5400)","0.5334 (0.3203)","0.2847 (0.0043)",-0.5108
"0.8",20,"Small","Controlled interrupted time series(CITS)","-0.0517 (0.3897)","-0.0109 (0.0042)","48.85 (0.5400)","50.84 (0.5400)","0.3897 (0.1539)","0.1520 (0.0023)",-0.0408
"0.8",20,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0403 (0.3796)","0.0005 (0.0041)","57.52 (0.5300)","42.92 (0.5300)","0.3796 (0.1698)","0.1441 (0.0022)",-0.0408
"0.8",20,"Small","Multivariable negative binomial regression(Trd)","-0.0158 (0.5279)","0.0250 (0.0057)","70.57 (0.4900)","29.35 (0.4900)","0.5279 (0.3275)","0.2793 (0.0043)",-0.0408
"0.8",20,"Moderate","Controlled interrupted time series(CITS)","-0.3672 (0.3865)","-0.0105 (0.0041)","49.95 (0.5400)","65.04 (0.5100)","0.3865 (0.1545)","0.1495 (0.0023)",-0.3567
"0.8",20,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3681 (0.3746)","-0.0114 (0.0040)","58.14 (0.5300)","60.13 (0.5300)","0.3746 (0.1702)","0.1404 (0.0021)",-0.3567
"0.8",20,"Moderate","Multivariable negative binomial regression(Trd)","-0.3404 (0.5428)","0.0163 (0.0058)","69.91 (0.4900)","39.47 (0.5200)","0.5428 (0.3291)","0.2949 (0.0045)",-0.3567
"0.8",20,"Large","Controlled interrupted time series(CITS)","-0.5221 (0.3800)","-0.0113 (0.0041)","50.58 (0.5400)","76.12 (0.4600)","0.3800 (0.1530)","0.1445 (0.0023)",-0.5108
"0.8",20,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5150 (0.3679)","-0.0042 (0.0039)","58.83 (0.5300)","71.98 (0.4800)","0.3679 (0.1692)","0.1354 (0.0020)",-0.5108
"0.8",20,"Large","Multivariable negative binomial regression(Trd)","-0.4842 (0.5422)","0.0266 (0.0058)","69.66 (0.4900)","46.40 (0.5400)","0.5422 (0.3291)","0.2947 (0.0045)",-0.5108
"0.8",24,"Small","Controlled interrupted time series(CITS)","-0.0514 (0.3649)","-0.0106 (0.0039)","52.42 (0.5400)","47.65 (0.5400)","0.3649 (0.1504)","0.1333 (0.0020)",-0.0408
"0.8",24,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0477 (0.3636)","-0.0069 (0.0039)","58.97 (0.5300)","41.60 (0.5300)","0.3636 (0.1668)","0.1323 (0.0020)",-0.0408
"0.8",24,"Small","Multivariable negative binomial regression(Trd)","-0.0252 (0.5437)","0.0156 (0.0058)","71.75 (0.4800)","28.29 (0.4800)","0.5437 (0.3405)","0.2958 (0.0046)",-0.0408
"0.8",24,"Moderate","Controlled interrupted time series(CITS)","-0.3669 (0.3658)","-0.0102 (0.0039)","51.51 (0.5400)","65.71 (0.5100)","0.3658 (0.1494)","0.1339 (0.0021)",-0.3567
"0.8",24,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3598 (0.3601)","-0.0031 (0.0039)","58.62 (0.5300)","58.92 (0.5300)","0.3601 (0.1661)","0.1296 (0.0020)",-0.3567
"0.8",24,"Moderate","Multivariable negative binomial regression(Trd)","-0.3325 (0.5500)","0.0242 (0.0059)","70.50 (0.4900)","37.09 (0.5200)","0.5500 (0.3388)","0.3030 (0.0046)",-0.3567
"0.8",24,"Large","Controlled interrupted time series(CITS)","-0.5246 (0.3647)","-0.0138 (0.0039)","53.06 (0.5400)","77.37 (0.4500)","0.3647 (0.1493)","0.1332 (0.0021)",-0.5108
"0.8",24,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5190 (0.3680)","-0.0082 (0.0039)","57.32 (0.5300)","72.94 (0.4800)","0.3680 (0.1658)","0.1355 (0.0020)",-0.5108
"0.8",24,"Large","Multivariable negative binomial regression(Trd)","-0.4913 (0.5623)","0.0195 (0.0060)","69.61 (0.4900)","46.05 (0.5300)","0.5623 (0.3370)","0.3165 (0.0049)",-0.5108
"0.8",28,"Small","Controlled interrupted time series(CITS)","-0.0532 (0.3409)","-0.0124 (0.0037)","55.32 (0.5300)","45.15 (0.5300)","0.3409 (0.1456)","0.1163 (0.0018)",-0.0408
"0.8",28,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0503 (0.3478)","-0.0095 (0.0037)","59.89 (0.5300)","40.18 (0.5300)","0.3478 (0.1622)","0.1211 (0.0019)",-0.0408
"0.8",28,"Small","Multivariable negative binomial regression(Trd)","-0.0311 (0.5557)","0.0097 (0.0060)","72.23 (0.4800)","28.10 (0.4800)","0.5557 (0.3461)","0.3089 (0.0048)",-0.0408
"0.8",28,"Moderate","Controlled interrupted time series(CITS)","-0.3699 (0.3417)","-0.0132 (0.0037)","54.93 (0.5300)","65.30 (0.5100)","0.3417 (0.1457)","0.1169 (0.0018)",-0.3567
"0.8",28,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3620 (0.3459)","-0.0053 (0.0037)","60.28 (0.5200)","59.10 (0.5300)","0.3459 (0.1626)","0.1196 (0.0018)",-0.3567
"0.8",28,"Moderate","Multivariable negative binomial regression(Trd)","-0.3349 (0.5622)","0.0218 (0.0060)","71.55 (0.4800)","36.77 (0.5200)","0.5622 (0.3466)","0.3165 (0.0048)",-0.3567
"0.8",28,"Large","Controlled interrupted time series(CITS)","-0.5273 (0.3401)","-0.0165 (0.0036)","55.02 (0.5300)","78.79 (0.4400)","0.3401 (0.1458)","0.1160 (0.0018)",-0.5108
"0.8",28,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5128 (0.3498)","-0.0020 (0.0038)","59.60 (0.5300)","73.20 (0.4800)","0.3498 (0.1624)","0.1223 (0.0019)",-0.5108
"0.8",28,"Large","Multivariable negative binomial regression(Trd)","-0.4816 (0.5637)","0.0292 (0.0060)","71.81 (0.4800)","45.03 (0.5300)","0.5637 (0.3453)","0.3186 (0.0050)",-0.5108
"0.8",32,"Small","Controlled interrupted time series(CITS)","-0.0522 (0.3217)","-0.0114 (0.0035)","56.66 (0.5300)","44.08 (0.5300)","0.3217 (0.1398)","0.1036 (0.0016)",-0.0408
"0.8",32,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0427 (0.3374)","-0.0019 (0.0036)","60.74 (0.5200)","39.81 (0.5300)","0.3374 (0.1580)","0.1138 (0.0017)",-0.0408
"0.8",32,"Small","Multivariable negative binomial regression(Trd)","-0.0219 (0.5548)","0.0189 (0.0060)","73.43 (0.4700)","26.68 (0.4700)","0.5548 (0.3534)","0.3082 (0.0049)",-0.0408
"0.8",32,"Moderate","Controlled interrupted time series(CITS)","-0.3725 (0.3195)","-0.0158 (0.0034)","56.49 (0.5300)","66.70 (0.5100)","0.3195 (0.1406)","0.1023 (0.0016)",-0.3567
"0.8",32,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3614 (0.3389)","-0.0047 (0.0036)","61.18 (0.5200)","59.96 (0.5300)","0.3389 (0.1588)","0.1148 (0.0017)",-0.3567
"0.8",32,"Moderate","Multivariable negative binomial regression(Trd)","-0.3376 (0.5661)","0.0191 (0.0061)","72.57 (0.4800)","36.14 (0.5200)","0.5661 (0.3503)","0.3208 (0.0048)",-0.3567
"0.8",32,"Large","Controlled interrupted time series(CITS)","-0.5267 (0.3228)","-0.0159 (0.0035)","56.54 (0.5300)","80.28 (0.4300)","0.3228 (0.1401)","0.1045 (0.0017)",-0.5108
"0.8",32,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5200 (0.3404)","-0.0092 (0.0037)","60.36 (0.5200)","74.41 (0.4700)","0.3404 (0.1589)","0.1160 (0.0018)",-0.5108
"0.8",32,"Large","Multivariable negative binomial regression(Trd)","-0.4902 (0.5833)","0.0206 (0.0063)","71.82 (0.4800)","44.31 (0.5300)","0.5833 (0.3523)","0.3406 (0.0054)",-0.5108
"0.8",36,"Small","Controlled interrupted time series(CITS)","-0.0518 (0.3066)","-0.0110 (0.0033)","57.37 (0.5300)","43.20 (0.5300)","0.3066 (0.1358)","0.0941 (0.0015)",-0.0408
"0.8",36,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0492 (0.3250)","-0.0084 (0.0035)","61.73 (0.5200)","38.84 (0.5200)","0.3250 (0.1541)","0.1057 (0.0017)",-0.0408
"0.8",36,"Small","Multivariable negative binomial regression(Trd)","-0.0298 (0.5740)","0.0110 (0.0062)","74.08 (0.4700)","25.77 (0.4700)","0.5740 (0.3637)","0.3296 (0.0050)",-0.0408
"0.8",36,"Moderate","Controlled interrupted time series(CITS)","-0.3752 (0.3043)","-0.0185 (0.0033)","56.91 (0.5300)","68.14 (0.5000)","0.3043 (0.1357)","0.0929 (0.0014)",-0.3567
"0.8",36,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3609 (0.3266)","-0.0042 (0.0035)","60.92 (0.5200)","61.41 (0.5200)","0.3266 (0.1535)","0.1067 (0.0016)",-0.3567
"0.8",36,"Moderate","Multivariable negative binomial regression(Trd)","-0.3268 (0.5819)","0.0299 (0.0062)","73.07 (0.4800)","34.35 (0.5100)","0.5819 (0.3592)","0.3395 (0.0052)",-0.3567
"0.8",36,"Large","Controlled interrupted time series(CITS)","-0.5260 (0.3075)","-0.0152 (0.0033)","56.98 (0.5300)","81.24 (0.4200)","0.3075 (0.1359)","0.0948 (0.0015)",-0.5108
"0.8",36,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5221 (0.3268)","-0.0113 (0.0035)","61.53 (0.5200)","76.09 (0.4600)","0.3268 (0.1548)","0.1069 (0.0016)",-0.5108
"0.8",36,"Large","Multivariable negative binomial regression(Trd)","-0.4893 (0.5953)","0.0215 (0.0064)","71.89 (0.4800)","42.81 (0.5300)","0.5953 (0.3613)","0.3549 (0.0053)",-0.5108
"0.8",40,"Small","Controlled interrupted time series(CITS)","-0.0509 (0.2831)","-0.0101 (0.0030)","59.46 (0.5300)","40.84 (0.5300)","0.2831 (0.1308)","0.0802 (0.0013)",-0.0408
"0.8",40,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0437 (0.3115)","-0.0029 (0.0033)","62.38 (0.5200)","38.40 (0.5200)","0.3115 (0.1503)","0.0970 (0.0015)",-0.0408
"0.8",40,"Small","Multivariable negative binomial regression(Trd)","-0.0276 (0.5962)","0.0132 (0.0064)","72.69 (0.4800)","27.37 (0.4800)","0.5962 (0.3659)","0.3556 (0.0054)",-0.0408
"0.8",40,"Moderate","Controlled interrupted time series(CITS)","-0.3701 (0.2897)","-0.0134 (0.0031)","58.59 (0.5300)","68.58 (0.5000)","0.2897 (0.1314)","0.0841 (0.0013)",-0.3567
"0.8",40,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3550 (0.3180)","0.0017 (0.0034)","61.95 (0.5200)","61.20 (0.5200)","0.3180 (0.1510)","0.1011 (0.0016)",-0.3567
"0.8",40,"Moderate","Multivariable negative binomial regression(Trd)","-0.3337 (0.6164)","0.0230 (0.0066)","70.78 (0.4900)","36.23 (0.5200)","0.6164 (0.3632)","0.3804 (0.0057)",-0.3567
"0.8",40,"Large","Controlled interrupted time series(CITS)","-0.5344 (0.2892)","-0.0236 (0.0031)","59.04 (0.5300)","84.54 (0.3900)","0.2892 (0.1322)","0.0842 (0.0013)",-0.5108
"0.8",40,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5230 (0.3148)","-0.0122 (0.0034)","62.70 (0.5200)","77.68 (0.4500)","0.3148 (0.1514)","0.0992 (0.0015)",-0.5108
"0.8",40,"Large","Multivariable negative binomial regression(Trd)","-0.5045 (0.6191)","0.0063 (0.0066)","70.91 (0.4900)","44.27 (0.5300)","0.6191 (0.3622)","0.3832 (0.0059)",-0.5108
"0.8",44,"Small","Controlled interrupted time series(CITS)","-0.0510 (0.2751)","-0.0102 (0.0030)","61.02 (0.5200)","39.86 (0.5300)","0.2751 (0.1276)","0.0758 (0.0012)",-0.0408
"0.8",44,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0433 (0.3051)","-0.0025 (0.0033)","62.07 (0.5200)","38.40 (0.5200)","0.3051 (0.1467)","0.0931 (0.0014)",-0.0408
"0.8",44,"Small","Multivariable negative binomial regression(Trd)","-0.0372 (0.6028)","0.0036 (0.0065)","71.96 (0.4800)","28.30 (0.4800)","0.6028 (0.3595)","0.3633 (0.0057)",-0.0408
"0.8",44,"Moderate","Controlled interrupted time series(CITS)","-0.3723 (0.2793)","-0.0156 (0.0030)","59.54 (0.5300)","70.36 (0.4900)","0.2793 (0.1278)","0.0782 (0.0012)",-0.3567
"0.8",44,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3624 (0.3092)","-0.0057 (0.0033)","62.45 (0.5200)","62.65 (0.5200)","0.3092 (0.1476)","0.0956 (0.0015)",-0.3567
"0.8",44,"Moderate","Multivariable negative binomial regression(Trd)","-0.3454 (0.6064)","0.0113 (0.0065)","71.08 (0.4900)","37.51 (0.5200)","0.6064 (0.3541)","0.3678 (0.0055)",-0.3567
"0.8",44,"Large","Controlled interrupted time series(CITS)","-0.5254 (0.2760)","-0.0146 (0.0030)","61.14 (0.5200)","85.24 (0.3800)","0.2760 (0.1283)","0.0764 (0.0012)",-0.5108
"0.8",44,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5206 (0.3054)","-0.0098 (0.0033)","62.81 (0.5200)","78.17 (0.4400)","0.3054 (0.1485)","0.0934 (0.0014)",-0.5108
"0.8",44,"Large","Multivariable negative binomial regression(Trd)","-0.5007 (0.6204)","0.0101 (0.0067)","70.33 (0.4900)","44.74 (0.5300)","0.6204 (0.3569)","0.3849 (0.0059)",-0.5108
"0.8",48,"Small","Controlled interrupted time series(CITS)","-0.0529 (0.2704)","-0.0121 (0.0029)","60.67 (0.5200)","40.06 (0.5300)","0.2704 (0.1247)","0.0733 (0.0012)",-0.0408
"0.8",48,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0453 (0.2995)","-0.0045 (0.0032)","63.25 (0.5200)","37.34 (0.5200)","0.2995 (0.1446)","0.0897 (0.0014)",-0.0408
"0.8",48,"Small","Multivariable negative binomial regression(Trd)","-0.0284 (0.6027)","0.0124 (0.0065)","71.39 (0.4800)","28.37 (0.4800)","0.6027 (0.3528)","0.3633 (0.0055)",-0.0408
"0.8",48,"Moderate","Controlled interrupted time series(CITS)","-0.3736 (0.2619)","-0.0169 (0.0028)","61.42 (0.5200)","72.41 (0.4800)","0.2619 (0.1237)","0.0689 (0.0011)",-0.3567
"0.8",48,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3633 (0.3010)","-0.0066 (0.0032)","62.88 (0.5200)","63.58 (0.5200)","0.3010 (0.1441)","0.0906 (0.0014)",-0.3567
"0.8",48,"Moderate","Multivariable negative binomial regression(Trd)","-0.3429 (0.6027)","0.0138 (0.0065)","70.51 (0.4900)","36.89 (0.5200)","0.6027 (0.3464)","0.3634 (0.0056)",-0.3567
"0.8",48,"Large","Controlled interrupted time series(CITS)","-0.5253 (0.2649)","-0.0145 (0.0028)","60.74 (0.5200)","86.76 (0.3600)","0.2649 (0.1243)","0.0704 (0.0011)",-0.5108
"0.8",48,"Large","Controlled interrupted time series(CITS,ρ = 0.4)","-0.5155 (0.2972)","-0.0047 (0.0032)","63.55 (0.5200)","79.14 (0.4400)","0.2972 (0.1440)","0.0884 (0.0014)",-0.5108
"0.8",48,"Large","Multivariable negative binomial regression(Trd)","-0.4983 (0.6172)","0.0125 (0.0066)","69.15 (0.5000)","45.93 (0.5300)","0.6172 (0.3461)","0.3810 (0.0059)",-0.5108
"0.8",52,"Small","Controlled interrupted time series(CITS)","-0.0532 (0.2524)","-0.0124 (0.0027)","61.58 (0.5200)","38.94 (0.5200)","0.2524 (0.1200)","0.0639 (0.0010)",-0.0408
"0.8",52,"Small","Controlled interrupted time series(CITS,ρ = 0.4)","-0.0447 (0.2916)","-0.0039 (0.0031)","62.97 (0.5200)","37.36 (0.5200)","0.2916 (0.1409)","0.0850 (0.0013)",-0.0408
"0.8",52,"Small","Multivariable negative binomial regression(Trd)","-0.0298 (0.6111)","0.0110 (0.0066)","70.49 (0.4900)","29.50 (0.4900)","0.6111 (0.3506)","0.3735 (0.0058)",-0.0408
"0.8",52,"Moderate","Controlled interrupted time series(CITS)","-0.3726 (0.2514)","-0.0159 (0.0027)","62.53 (0.5200)","73.07 (0.4800)","0.2514 (0.1208)","0.0635 (0.0010)",-0.3567
"0.8",52,"Moderate","Controlled interrupted time series(CITS,ρ = 0.4)","-0.3632 (0.2919)","-0.0065 (0.0031)","62.96 (0.5200)","64.42 (0.5100)","0.2919 (0.1410)","0.0852 (0.0013)",-0.3567
"0.8",52,"Moderate","Multivariable negative binomial regression(Trd)","-0.3455 (0.6329)","0.0112 (0.0068)","68.59 (0.5000)","39.34 (0.5200)","0.6329 (0.3487)","0.4006 (0.0062)",-0.3567
