"rho","n","EstimandScenario","Method","R_total","R_converged","nonconv_rate","true_val","B_hat","Bias","MCSE_Bias","Bias_percent","MSE_estimate","MCSE_MSE","coverage","MCSE_coverage","power","MCSE_power","Empirical_SE","avg_model_SE","ratio_Emp_ModelSE","power_pct","MCSE_power_pct","coverage_pct","MCSE_cov_pct"
"0.6",18,"Small","Trd",8688,8688,0,-0.0408,-0.0316,0.0092,0.0051,22.55,0.2233,0.00342024819354052,0.707527624309392,0.0049,0.293508287292818,0.0049,0.4725,0.2862,1.6509,29.35,0.49,70.75,0.49
"0.6",18,"Moderate","CITS",8688,8688,0,-0.3567,-0.3701,-0.0134,0.0025,3.76,0.0524,0.000797504243093881,0.699470534069982,0.0049,0.72433241252302,0.0048,0.2286,0.133,1.7188,72.43,0.48,69.95,0.49
"0.6",18,"Moderate","CITS_0.4_constant",8688,8688,0,-0.3567,-0.3674,-0.0107,0.0023,3,0.0451,0.000681429317042203,0.719728360957643,0.0048,0.727209944751381,0.0048,0.2121,0.1313,1.6154,72.72,0.48,71.97,0.48
"0.6",18,"Moderate","CITS_spill_3pct",8688,8688,0,-0.3567,-0.2653,0.0914,0.0024,25.62,0.0605,0.000892082121129284,0.652624309392265,0.0051,0.565147329650092,0.0053,0.2283,0.1331,1.7153,56.51,0.53,65.26,0.51
"0.6",18,"Moderate","Trd",8688,8688,0,-0.3567,-0.345,0.0117,0.005,3.28,0.2174,0.00333353812686023,0.707527624309392,0.0049,0.404696132596685,0.0053,0.4661,0.2845,1.6383,40.47,0.53,70.75,0.49
"0.6",18,"Large","CITS",8688,8688,0,-0.5108,-0.5204,-0.0096,0.0025,1.88,0.0528,0.000806649923059797,0.69267955801105,0.0049,0.873273480662983,0.0036,0.2296,0.133,1.7263,87.33,0.36,69.27,0.49
"0.6",18,"Large","CITS_0.4_constant",8688,8688,0,-0.5108,-0.5218,-0.011,0.0023,2.15,0.0464,0.000699444088577873,0.722490791896869,0.0048,0.893531307550645,0.0033,0.2152,0.1317,1.634,89.35,0.33,72.25,0.48
"0.6",18,"Large","CITS_spill_3pct",8688,8688,0,-0.5108,-0.4155,0.0953,0.0025,18.66,0.0615,0.000891738071636512,0.646178637200737,0.0051,0.776818600368324,0.0045,0.2289,0.133,1.7211,77.68,0.45,64.62,0.51
"0.6",18,"Large","Trd",8688,8688,0,-0.5108,-0.4994,0.0114,0.0051,2.23,0.2257,0.00348537579360509,0.699815837937385,0.0049,0.512546040515654,0.0054,0.475,0.2846,1.669,51.25,0.54,69.98,0.49
"0.6",20,"Small","CITS",8688,8688,0,-0.0408,-0.0489,-0.0081,0.0023,19.85,0.0463,0.000710689266034941,0.71731123388582,0.0048,0.292127071823204,0.0049,0.2151,0.1288,1.67,29.21,0.49,71.73,0.48
"0.6",20,"Small","CITS_0.4_constant",8688,8688,0,-0.0408,-0.0441,-0.0033,0.0022,8.09,0.0404,0.000630778881513647,0.743669429097606,0.0047,0.266114180478821,0.0047,0.2009,0.1276,1.5745,26.61,0.47,74.37,0.47
"0.6",20,"Small","CITS_spill_3pct",8688,8688,0,-0.0408,0.0558,0.0966,0.0023,236.76,0.0556,0.000809932437686408,0.656767955801105,0.0051,0.306629834254144,0.0049,0.2152,0.1289,1.6695,30.66,0.49,65.68,0.51
"0.6",20,"Small","Trd",8688,8688,0,-0.0408,-0.0355,0.0053,0.0049,12.99,0.2093,0.00322225462861551,0.728130755064457,0.0048,0.273941068139963,0.0048,0.4575,0.2858,1.6008,27.39,0.48,72.81,0.48
"0.6",20,"Moderate","CITS",8688,8688,0,-0.3567,-0.3696,-0.0129,0.0023,3.62,0.046,0.000706967998170294,0.716390423572744,0.0048,0.73469152854512,0.0047,0.214,0.1295,1.6525,73.47,0.47,71.64,0.48
"0.6",20,"Moderate","CITS_0.4_constant",8688,8688,0,-0.3567,-0.3687,-0.012,0.0022,3.36,0.0405,0.00062286469810268,0.740446593001842,0.0047,0.743554327808471,0.0047,0.2008,0.1277,1.5724,74.36,0.47,74.04,0.47
"0.6",20,"Moderate","CITS_spill_3pct",8688,8688,0,-0.3567,-0.2642,0.0925,0.0023,25.93,0.0543,0.000786566613683532,0.662638121546961,0.0051,0.567794659300184,0.0053,0.2139,0.1294,1.653,56.78,0.53,66.26,0.51
"0.6",20,"Moderate","Trd",8688,8688,0,-0.3567,-0.3436,0.0131,0.005,3.67,0.2153,0.00334000335841373,0.717656537753223,0.0048,0.400322283609576,0.0053,0.4639,0.2865,1.6192,40.03,0.53,71.77,0.48
"0.6",20,"Large","CITS",8688,8688,0,-0.5108,-0.5204,-0.0096,0.0023,1.88,0.0471,0.000726943605022328,0.708908839779006,0.0049,0.893070902394107,0.0033,0.2167,0.1289,1.6811,89.31,0.33,70.89,0.49
"0.6",20,"Large","CITS_0.4_constant",8688,8688,0,-0.5108,-0.5172,-0.0064,0.0022,1.25,0.0413,0.000634100102427001,0.74067679558011,0.0047,0.903314917127072,0.0032,0.2031,0.128,1.5867,90.33,0.32,74.07,0.47
"0.6",20,"Large","CITS_spill_3pct",8688,8688,0,-0.5108,-0.4148,0.096,0.0023,18.79,0.0563,0.00083519832683075,0.66286832412523,0.0051,0.790170349907919,0.0044,0.217,0.1292,1.6796,79.02,0.44,66.29,0.51
